epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1213,1.52761,4.15094,1.6441,0.00633,0.84691,0.16657,0.06222,1.45894,4.6256,1.74451,0.00017148,0.00017148,0.00017148
2,119.396,1.52919,3.55386,1.6635,0.00794,0.81946,0.18787,0.07884,1.21429,4.29585,1.44315,0.000350176,0.000350176,0.000350176
3,175.059,1.4046,3.18466,1.57804,0.00382,0.94495,0.18855,0.08011,1.19032,4.17121,1.38692,0.000521516,0.000521516,0.000521516
4,228.054,1.37661,2.86304,1.55453,0.72839,0.03077,0.09709,0.05045,1.17525,3.92569,1.35643,0.0006855,0.0006855,0.0006855
5,285.342,1.38209,2.7694,1.51191,0.92921,0.08205,0.32597,0.17689,1.28667,3.75493,1.46458,0.000842127,0.000842127,0.000842127
6,338.843,1.35854,2.47723,1.51573,0.87464,0.2042,0.38767,0.19407,1.37406,3.56781,1.59781,0.000991397,0.000991397,0.000991397
7,388.724,1.41526,2.63044,1.55386,0.7606,0.18319,0.16467,0.07598,1.38999,4.01108,1.65447,0.00113331,0.00113331,0.00113331
8,444.361,1.31592,2.60364,1.49024,0.60053,0.19228,0.16965,0.07228,1.48526,3.9292,1.6777,0.00123094,0.00123094,0.00123094
9,493.456,1.40572,2.44067,1.51733,0.91056,0.12821,0.303,0.13836,1.56083,3.87335,1.76943,0.00120265,0.00120265,0.00120265
10,548.83,1.36869,2.45798,1.48859,0.49983,0.40724,0.29283,0.14487,1.60098,3.82958,1.74915,0.00117435,0.00117435,0.00117435
11,594.011,1.40671,2.38854,1.50674,0.55856,0.39419,0.38827,0.20437,1.38531,3.55524,1.55096,0.00114606,0.00114606,0.00114606
12,647.579,1.44394,2.57891,1.5486,0.69963,0.37441,0.38621,0.20736,1.43195,3.18589,1.57155,0.00111776,0.00111776,0.00111776
13,694.821,1.32698,2.45613,1.43995,0.57895,0.45897,0.36334,0.19731,1.49162,3.40118,1.59559,0.00108947,0.00108947,0.00108947
14,748.235,1.44267,2.67377,1.60223,0.78843,0.30322,0.30136,0.14509,1.57058,3.38313,1.53303,0.00106118,0.00106118,0.00106118
15,804.123,1.32109,2.33398,1.49,0.74275,0.28914,0.30352,0.15211,1.68364,3.56153,1.7451,0.00103288,0.00103288,0.00103288
16,859.273,1.34635,2.36883,1.51564,0.70689,0.3092,0.40487,0.19277,1.64486,3.18409,1.77497,0.00100459,0.00100459,0.00100459
17,909.646,1.26706,2.12552,1.42616,0.81982,0.37511,0.60751,0.3425,1.27677,2.53301,1.55371,0.000976293,0.000976293,0.000976293
18,964.718,1.3678,2.43245,1.52991,0.33984,0.58774,0.47898,0.27178,1.29807,2.71432,1.5572,0.000947999,0.000947999,0.000947999
19,1014.65,1.27409,2.11579,1.45721,0.45162,0.57162,0.56362,0.30709,1.32216,3.13255,1.56792,0.000919704,0.000919704,0.000919704
20,1066.04,1.28667,2.02613,1.45442,0.42551,0.70664,0.53946,0.32376,1.28445,2.68236,1.51471,0.00089141,0.00089141,0.00089141
21,1113.48,1.2448,2.05131,1.46181,0.45993,0.72021,0.5661,0.33337,1.26598,2.53215,1.46289,0.000863116,0.000863116,0.000863116
22,1157.25,1.25432,2.02432,1.42307,0.69823,0.59014,0.64209,0.37296,1.27677,2.33006,1.52231,0.000834822,0.000834822,0.000834822
23,1203.28,1.21684,1.80355,1.39981,0.57997,0.62578,0.70253,0.40981,1.21863,2.0799,1.47159,0.000806528,0.000806528,0.000806528
24,1251.79,1.19569,1.91382,1.40737,0.54215,0.71566,0.71014,0.43548,1.20522,1.98587,1.4197,0.000778233,0.000778233,0.000778233
25,1291.79,1.34672,2.1073,1.41044,0.60536,0.60075,0.64118,0.38766,1.23416,2.08849,1.42425,0.000749939,0.000749939,0.000749939
26,1339.85,1.22803,1.98177,1.44854,0.68268,0.55324,0.69279,0.42445,1.1619,1.99345,1.38628,0.000721645,0.000721645,0.000721645
27,1385.88,1.24373,1.83125,1.44861,0.84324,0.52078,0.72023,0.4758,1.04632,1.98076,1.31829,0.000693351,0.000693351,0.000693351
28,1430.77,1.13987,1.90627,1.3443,0.824,0.53584,0.71499,0.47633,1.06065,2.06254,1.32324,0.000665057,0.000665057,0.000665057
29,1478.93,1.14889,1.79604,1.38015,0.81386,0.55566,0.73604,0.48474,1.06747,1.99396,1.3052,0.000636762,0.000636762,0.000636762
30,1521.12,1.17829,1.72089,1.38048,0.60718,0.74987,0.81725,0.52913,1.13828,1.8542,1.33749,0.000608468,0.000608468,0.000608468
31,1570.68,1.14421,1.74564,1.35228,0.79142,0.71955,0.80054,0.51615,1.15501,1.81145,1.35118,0.000580174,0.000580174,0.000580174
32,1617.41,1.16067,1.71183,1.37126,0.85487,0.69493,0.81616,0.52807,1.13907,1.74483,1.32386,0.00055188,0.00055188,0.00055188
